,0
general,0.021514721823542398
tantuni,0.021465851214631435
make,0.021228555994802865
medium,0.02092103983614284
plate,0.020907942322750693
lake,0.02081803600740986
thanks,0.02069534039933211
local,0.020678520229842928
times,0.020479682749913304
desserts,0.02043351058112339
liras,0.020362607343937224
hard,0.019961525158798208
awesome,0.019960886584900694
attention,0.01985301603791133
cake,0.019827529647702867
performance,0.019701850012654364
does,0.01951157173203094
home,0.019436663500277854
stylish,0.019325052954519584
cuisine,0.019255425605568827
okay,0.019076366710974305
visited,0.018966081435606606
historical,0.018789460846372893
egg,0.01858037514129126
italian,0.01857899206593473
turkish,0.018381122042561544
menus,0.018269947957624218
serve,0.018033099565097615
legendary,0.017911118322060764
options,0.017703310408387227
classic,0.017686420668467488
product,0.017611744599567762
smell,0.017471538896196917
account,0.017392204353429423
extra,0.017161455760450754
sushi,0.017158711000357717
polite,0.016679077316609163
old,0.016616241468266863
samsun,0.016395825213805434
overall,0.016329657747416782
strongly,0.015948998243903303
baklava,0.015935509224706934
foods,0.015893220906332252
korean,0.015701647927814127
potatoes,0.015578400304646427
branch,0.015562646469916395
wood,0.015463581013789666
guess,0.015339191814314014
burgers,0.015260720594112666
butter,0.015240281557229823
crispy,0.015170171969147024
salty,0.015083482166997453
slow,0.01502891017427621
tasteless,0.014944526973076452
10,0.014930347392271868
money,0.01492111138289829
interior,0.0147362840199698
hearty,0.01470645988010534
extremely,0.014537041699590282
stuffed,0.014380371857682546
fries,0.014340853669922401
glass,0.014289333628653393
number,0.014219414330315094
right,0.014137661656568665
real,0.013998295839310048
noodles,0.013963690887794256
famous,0.013679358226335356
venue,0.013624459760055826
friends,0.013588494271244223
parking,0.013482910321521584
pastries,0.013422398973852105
thing,0.013263778782334444
changed,0.01311793165536019
croissant,0.013056329895209443
year,0.012933040285403905
music,0.012824362884075739
cleanliness,0.012805469480609684
left,0.012516550495053229
enjoyable,0.012488270308504213
highly,0.012380422854475132
got,0.01219624351090112
expectations,0.01212285138564497
spicy,0.012116141634151695
located,0.012048694925444995
available,0.011855996196327366
interesting,0.011784090774395186
constantly,0.011742856644122057
dirty,0.011650483629171217
cheddar,0.011605359465730627
person,0.011489337318829392
fethiye,0.011463730673115919
size,0.01144892063678204
concerned,0.011355127320267786
according,0.011295496813365771
incredibly,0.01126974343629196
minced,0.011238017578690172
decorated,0.010995962828309787
soups,0.010477428788277012
gaziantep,0.009941113457171613
use,0.009173039891839213
wrong,0.009112066238139814
stomach,0.008812034868251816
actually,0.00878864543427698
absolutely,0.00856733154407658
chocolate,0.00715779099054653
generally,0.006953214619337126
terrible,0.006734278708776225
recommended,0.006497597989315477
indifferent,0.006393874357041852
